OrderMonth,SALES
2003-01-01,129753.6
2003-02-01,140836.19
2003-03-01,174504.9
2003-04-01,201609.55
2003-05-01,192673.11
2003-06-01,168082.56
2003-07-01,187731.88
2003-08-01,197809.3
2003-09-01,263973.36
2003-10-01,568290.97
2003-11-01,1029837.66
2003-12-01,261876.46
2004-01-01,316577.42
2004-02-01,311419.53
2004-03-01,205733.73
2004-04-01,206148.12
2004-05-01,273438.39
2004-06-01,286674.22
2004-07-01,327144.09
2004-08-01,461501.27
2004-09-01,320750.91
2004-10-01,552924.25
2004-11-01,1089048.01
2004-12-01,372802.66
2005-01-01,339543.42
2005-02-01,358186.18
2005-03-01,374262.76
2005-04-01,261633.29
2005-05-01,457861.06
